cnt,gx,gy,gz,ax,ay,az
3838,-38,-2536,-1596,-2208,668,15337
3839,278,-2558,-1434,-1488,365,15708
3840,188,-3436,-1988,-1139,420,15879
3841,-352,-2362,-1342,-1238,560,15769
3842,-658,-2778,-1318,-1848,859,15325
3843,-468,-3702,-776,-2379,1083,14806
3844,-848,-2650,-1364,-1234,1288,18505
3845,-2112,-132,-1688,-1135,1228,17477
3846,-2924,1498,-938,-1587,879,16246
3847,-2518,2756,-488,-1785,62,15124
3848,78,794,-1088,-1085,1167,14794
3849,1248,354,-1100,-972,1891,17499
3850,1260,2376,-2056,-1674,1941,17826
3851,604,3704,-1826,-2525,966,17313
3852,830,4456,-1180,-3135,770,15534
3853,132,4374,204,-3225,885,14644
3854,-1492,2446,-26,-2661,1112,14943
3855,-2842,1720,134,-1519,1371,15395
3856,-3262,850,-522,-529,1304,15652
3857,-3442,608,-212,-672,834,16055
3858,-2754,-316,-534,-975,-18,16270
3859,-2336,100,-1146,-1419,-377,16301
3860,-2146,-1484,-580,-1526,-149,16099
3861,-1874,-1760,-222,-2386,480,15913
3862,-2180,-2628,-650,-2779,194,16379
3863,-1424,-3066,-1630,-3537,767,17438
3864,-454,-2686,-776,-3435,515,17975
3865,2522,-2476,-512,-3364,384,17782
3866,4518,-1564,88,-3082,750,17420
3867,4980,-2836,88,-2708,819,16656
3868,4856,-2142,930,-2056,735,15927
3869,4168,-1458,826,-1935,906,15219
3870,3288,-768,1080,-1537,1067,15160
3871,2264,-1296,204,-1226,1245,15249
3872,1326,-1518,-280,-917,891,15591
3873,718,-1920,-662,-564,-83,15645
3874,314,-1078,-1376,-206,-339,15525
3875,-592,-1750,-1652,-94,-111,15292
3876,-1674,-1218,-1780,345,-577,15047
3877,-1864,-1876,-546,317,8,15244
3878,-1604,-686,-316,-198,1038,15782
3879,-1188,-350,284,-883,1486,16169
3880,-206,112,342,-1396,1086,16493
3881,368,-536,-142,-1459,579,16418
3882,844,56,-776,-1001,727,16101
3883,616,-1218,-350,-553,763,15791
3884,864,250,-304,-269,1115,15665
3885,392,-132,342,-87,1134,15757
3886,-274,122,-96,-256,718,15961
