id,cnt,gx,gy,gz,ax,ay,az,pls
0,0,384,-552,-3754,-451,1004,16726,0
0,1,-70,-438,-4390,-390,1056,16772,0
0,2,-622,-1072,-5300,-111,1017,16899,0
0,3,168,84,-4722,309,593,17044,0
0,4,934,-300,-5324,548,138,17365,0
0,5,2828,1354,-6280,640,-156,17518,0
0,6,3268,626,-6982,546,-171,17644,0
0,7,3492,1364,-7906,358,256,17713,0
0,8,1936,396,-7996,227,664,17990,0
0,9,506,-690,-8794,-105,690,18197,0
0,10,-328,-854,-7780,-40,269,18226,0
0,11,-1230,-1060,-6912,524,-3,18286,0
0,12,-1422,48,-7018,441,-417,18729,0
0,13,-1174,58,-7630,369,-1475,18882,0
0,14,58,836,-8528,100,-3108,18880,0
0,15,1350,-1326,-9450,-508,-2925,18764,0
0,16,1532,-1442,-10914,1329,-2281,18344,0
0,17,1756,616,-12182,1550,-2599,17678,0
0,18,2782,1978,-12332,1006,-2697,17089,0
0,19,3202,2892,-11594,994,-2193,16853,0
0,20,4034,1898,-11804,548,-1603,16644,0
0,21,3640,1330,-10974,796,-1369,16113,0
0,22,2456,684,-10222,-117,-1129,15864,0
0,23,968,222,-9266,-329,-1126,15491,0
0,24,-768,-1938,-9566,-106,-1110,15430,0
0,25,-2516,-2076,-8736,598,-973,15399,0
0,26,-3812,-1386,-8022,1343,-1239,15340,0
0,27,-4038,-1258,-7710,1403,-1758,15433,0
0,28,-2956,-1036,-8296,944,-2200,15764,0
0,29,-2370,-1418,-7778,753,-2378,16025,0
0,30,-1626,-1256,-7456,1031,-2549,16225,0
0,31,-386,-462,-7560,1074,-2784,15822,0
0,32,506,-310,-7640,1083,-2729,15355,0
0,33,1486,1182,-8644,1299,-2119,15089,0
0,34,1716,432,-8342,1082,-1614,14713,0
0,35,1870,870,-8702,828,-1449,14507,0
0,36,2298,754,-8192,751,-1139,14448,0
0,37,2332,428,-7434,656,-637,14379,0
0,38,1328,674,-7374,665,-260,14379,0
0,39,652,-126,-7422,503,-291,14429,0
0,40,328,1356,-7224,512,-494,14593,0
0,41,112,882,-6370,555,-662,14672,0
0,42,292,1608,-7158,856,-735,14845,0
0,43,302,2462,-7848,1098,-785,14940,0
0,44,1430,3168,-6774,925,-606,15053,0
0,45,1982,3400,-6532,864,-293,15403,0
0,46,1870,4070,-5912,47,315,15917,0
0,47,482,1978,-4424,-1433,1474,16344,0
0,48,-362,-574,-4180,-1973,1919,16446,0
0,49,-622,-1926,-4562,-982,962,16374,0
0,50,178,-1072,-4746,76,-523,16097,0
