id,cnt,gx,gy,gz,ax,ay,az,pls
0,0,408,698,-698,-416,662,15184,0
0,1,-384,314,-1066,-796,874,14761,0
0,2,-1038,408,-1654,-936,792,14458,0
0,3,-844,62,-1274,-1159,510,14215,0
0,4,-902,-586,-6,-1488,401,14029,0
0,5,-352,-690,-352,-1292,489,14153,0
0,6,160,-1128,-214,-1148,536,14331,0
0,7,802,-284,248,-1076,754,14481,0
0,8,1106,-538,-432,-1215,1036,14663,0
0,9,1016,-1382,-236,-1265,1235,15066,0
0,10,792,-1092,-364,-1276,1499,15508,0
0,11,442,-1336,122,-951,1448,15953,0
0,12,294,-320,-860,-877,1337,16299,0
0,13,204,-204,-64,-890,1260,16595,0
0,14,408,-596,40,-711,1028,16713,0
0,15,-56,50,-224,-660,1067,16827,0
0,16,-212,-458,-524,-565,1282,16671,0
0,17,-632,466,318,-400,1437,16365,0
0,18,-1070,-110,-906,-511,1533,16239,0
0,19,-1442,-146,-1736,-416,979,16163,0
0,20,-1430,-156,-1540,-527,354,16250,0
0,21,-968,-76,-848,-585,-39,16570,0
0,22,-394,-54,-156,-599,-36,16954,0
0,23,532,-1450,560,-341,326,17269,0
0,24,734,-446,122,43,878,17478,0
0,25,858,-804,374,668,1104,17612,0
0,26,-178,560,-766,925,1471,17646,0
0,27,-2098,176,-1366,818,1757,17641,0
0,28,-3246,-286,-1620,447,698,17250,0
0,29,-3436,-562,-2554,362,-15,17161,0
0,30,-2794,-1174,-2946,-41,-843,17346,0
0,31,-1092,-2226,-3004,-127,-1942,18099,0
0,32,1162,-2112,-2012,-163,-2135,18496,0
0,33,2094,-1996,-1504,-46,-1449,18460,0
0,34,1940,-458,-674,261,-530,17738,0
0,35,834,-690,640,541,183,16712,0
0,36,-730,930,122,1259,480,16035,0
0,37,-2684,1656,-1308,1286,341,15417,0
0,38,-3054,1300,-974,762,-629,14909,0
0,39,-1904,1206,-1850,445,-1674,14763,0
0,40,12,-206,-1954,507,-2445,14870,0
0,41,1602,340,-2382,745,-2677,15409,0
0,42,2210,-1002,-2404,561,-2431,16415,0
0,43,1908,-2364,-2278,619,-2203,17355,0
0,44,1622,-1638,-1886,1187,-1959,18013,0
0,45,824,-618,-698,1859,-1536,17967,0
0,46,-484,246,-490,1809,-1178,17465,0
0,47,-1320,662,-1124,1495,-1006,16800,0
0,48,-1700,536,-524,1157,-1082,16319,0
0,49,-1498,790,-916,1148,-1370,15759,0
0,50,-418,846,-386,1127,-1525,15155,0
0,51,294,1320,-40,962,-1247,14393,0
0,52,904,178,582,707,-770,13837,0
0,53,814,-238,-6,786,-318,13477,0
0,54,790,-66,-294,833,-31,13453,0
0,55,948,-122,-132,882,286,13556,0
0,56,532,178,-1170,784,475,13632,0
0,57,-268,282,-848,616,455,13691,0
0,58,-282,1308,-570,571,307,13734,0
0,59,-358,548,-352,494,113,13630,0
0,60,-448,-272,-398,227,-22,13589,0
0,61,-100,744,-28,44,88,13578,0
0,62,124,418,-28,113,302,13548,0
0,63,-134,-480,-640,105,480,13692,0
0,64,114,-330,-802,90,537,14227,0
0,65,644,-666,-1170,126,534,14695,0
0,66,712,132,-502,81,501,15212,0
0,67,92,1172,-560,78,452,15496,0
0,68,-348,2154,386,-115,425,15570,0
0,69,-730,2004,1032,-253,521,15488,0
0,70,-1204,1576,640,-345,751,15093,0
0,71,-832,1668,802,-373,936,14690,0
0,72,-854,686,1194,-374,1059,14511,0
0,73,-922,872,444,-342,893,14825,0
0,74,-336,-642,986,-53,778,15500,0
0,75,622,-770,1136,91,760,16192,0
0,76,780,-676,686,2,994,16851,0
0,77,814,-342,-156,80,1081,17410,0
0,78,170,-78,398,228,1167,17858,0
0,79,-472,-422,952,407,1152,18309,0
0,80,-1802,1184,364,454,1105,18835,0
0,81,-2218,1588,986,117,893,18878,0
0,82,-2602,2074,2196,-310,544,18684,0
0,83,-2612,2928,1874,-414,5,18039,0
0,84,-2500,2050,1724,-654,-487,17654,0
0,85,-2252,1808,3050,-498,-550,17608,0
0,86,-1802,1056,3246,-668,75,17578,0
0,87,-1926,-422,2140,-796,304,17647,0
0,88,-2232,-286,1286,-778,321,17949,0
0,89,-1968,-966,928,-608,-467,18375,0
0,90,-1194,-1150,-144,-969,-1558,18886,0
0,91,194,-2688,1102,-1239,-1854,19247,0
0,92,1344,-2294,2312,-1443,-1930,19225,0
0,93,824,-2584,2658,-1226,-1928,18580,0
0,94,-22,-1938,2692,-1105,-1884,17855,0
0,95,-798,-2110,3026,-1232,-2029,17251,0
0,96,-934,-3634,3270,-912,-2169,16855,0
0,97,138,-3266,3038,-632,-2413,16737,0
0,98,1558,-3322,2036,-462,-2373,16607,0
0,99,2436,-2990,1574,-572,-2245,16710,0
0,100,2708,-3138,514,-434,-2466,17170,0
0,101,2110,-3288,1112,-465,-2374,17432,0
0,102,1716,-2964,1378,-254,-2103,17502,0
0,103,1016,-2178,1528,51,-1462,17253,0
0,104,180,-782,432,233,-939,16835,0
0,105,-902,-20,122,242,-821,16188,0
0,106,-1576,756,420,57,-1075,15631,0
0,107,-1318,282,-64,-170,-1393,15079,0
0,108,-788,790,-860,-565,-1757,14623,0
0,109,1062,836,570,-607,-1657,14062,0
0,110,1670,386,928,-588,-1128,13574,0
0,111,1712,812,616,-694,-643,13253,0
0,112,1862,-52,86,-836,-100,13125,0
0,113,1850,236,-952,-756,-123,12989,0
0,114,1974,398,-1136,-609,-361,12870,0
0,115,1794,236,-1978,-549,-607,13040,0
0,116,1468,802,-1194,-613,-584,13112,0
0,117,870,814,-6,-721,-353,13244,0
0,118,820,1216,-1124,-797,-127,13209,0
